name,name_kana,prefecture,attr
大麻,おおあさ,1,eco
野幌,のっぽろ,1,eco
高砂(北海道),たかさご,1,eco
江別,えべつ,1,eco
豊幌,とよほろ,1,eco
幌向,ほろむい,1,eco
上幌向,かみほろむい,1,eco
岩見沢,いわみざわ,1,eco
峰延,みねのぶ,1,eco
光珠内,こうしゅない,1,eco
美唄,びばい,1,eco
茶志内,ちゃしない,1,eco
奈井江,ないえ,1,eco
豊沼,とよぬま,1,eco
砂川,すながわ,1,eco
滝川,たきかわ,1,eco
江部乙,えべおつ,1,heat
妹背牛,もせうし,1,heat
深川,ふかがわ,1,heat
納内,おさむない,1,heat
伊納,いのう,1,heat
近文,ちかぶみ,1,heat
旭川,あさひかわ,1,heat
静狩,しずかり,1,eco
小幌,こぼろ,1,eco
礼文,れぶん,1,eco
大岸,おおきし,1,eco
豊浦,とようら,1,eco
洞爺,とうや,1,eco
有珠,うす,1,eco
長和,ながわ,1,eco
伊達紋別,だてもんべつ,1,eco
北舟岡,きたふなおか,1,eco
稀府,まれっぷ,1,eco
黄金(北海道),こがね,1,eco
崎守,さきもり,1,eco
本輪西,もとわにし,1,eco
室蘭,むろらん,1,cool
母恋,ぼこい,1,cool
御崎,みさき,1,cool
輪西,わにし,1,cool
東室蘭,ひがしむろらん,1,cool
鷲別,わしべつ,1,cool
幌別,ほろべつ,1,cool
富浦(北海道),とみうら,1,cool
登別,のぼりべつ,1,cool
虎杖浜,こじょうはま,1,heat
竹浦,たけうら,1,heat
北吉原,きたよしはら,1,heat
萩野,はぎの,1,heat
白老,しらおい,1,heat
社台,しゃだい,1,heat
錦岡,にしきおか,1,heat
糸井,いとい,1,heat
青葉,あおば,1,heat
苫小牧,とまこまい,1,eco
沼ノ端,ぬまのはた,1,eco
遠浅,とあさ,1,heat
早来,はやきた,1,heat
安平,あびら,1,cool
追分(北海道),おいわけ,1,cool
三川(北海道),みかわ,1,cool
古山,ふるさん,1,eco
由仁,ゆに,1,eco
栗山,くりやま,1,eco
栗丘,くりおか,1,eco
栗沢,くりさわ,1,eco
志文,しぶん,1,eco
東滝川,ひがしたきかわ,1,eco
赤平,あかびら,1,eco
茂尻,もしり,1,eco
平岸(JR),ひらぎし,1,eco
芦別,あしべつ,1,eco
上芦別,かみあしべつ,1,eco
野花南,のかなん,1,eco
富良野,ふらの,1,cool
布部,ぬのべ,1,heat
山部,やまべ,1,heat
下金山,しもかなやま,1,heat
金山(北海道),かなやま,1,cool
東鹿越,ひがししかごえ,1,cool
幾寅,いくとら,1,cool
落合(北海道),おちあい,1,cool
新得,しんとく,1,cool
十勝清水,とかちしみず,1,cool
御影(北海道),みかげ,1,cool
芽室,めむろ,1,cool
大成,たいせい,1,cool
西帯広,にしおびひろ,1,cool
柏林台,はくりんだい,1,cool
帯広,おびひろ,1,cool
札内,さつない,1,eco
幕別,まくべつ,1,eco
利別,としべつ,1,eco
池田(北海道),いけだ,1,eco
十弗,とおふつ,1,eco
豊頃,とよころ,1,eco
新吉野,しんよしの,1,eco
浦幌,うらほろ,1,eco
厚内,あつない,1,eco
直別,ちょくべつ,1,unknown
尺別,しゃくべつ,1,unknown
音別,おんべつ,1,eco
古瀬,ふるせ,1,heat
白糠,しらぬか,1,heat
西庶路,にししょろ,1,heat
庶路,しょろ,1,heat
大楽毛,おたのしけ,1,heat
新大楽毛,しんおたのしけ,1,heat
新富士(北海道),しんふじ,1,heat
釧路,くしろ,1,eco
東釧路,ひがしくしろ,1,eco
武佐(北海道),むさ,1,heat
別保,べっぽ,1,heat
上尾幌,かみおぼろ,1,heat
尾幌,おぼろ,1,cool
門静,もんしず,1,cool
厚岸,あっけし,1,cool
糸魚沢,いといざわ,1,cool
茶内,ちゃない,1,cool
浜中,はまなか,1,cool
姉別,あねべつ,1,eco
厚床,あっとこ,1,eco
初田牛,はったうし,1,unknown
別当賀,べっとが,1,eco
落石,おちいし,1,eco
昆布盛,こんぶもり,1,eco
西和田,にしわだ,1,eco
東根室,ひがしねむろ,1,eco
根室,ねむろ,1,eco
植苗,うえなえ,1,eco
新千歳空港,しんちとせくうこう,1,eco
南千歳,みなみちとせ,1,eco
千歳(北海道),ちとせ,1,eco
長都,おさつ,1,eco
サッポロビール庭園,さっぽろびーるていえん,1,heat
恵庭,えにわ,1,heat
恵み野,めぐみの,1,heat
島松,しままつ,1,heat
北広島,きたひろしま,1,heat
上野幌,かみのっぽろ,1,cool
新札幌,しんさっぽろ,1,cool
新さっぽろ,しんさっぽろ,1,cool
平和,へいわ,1,cool
川端,かわばた,1,cool
滝ノ上,たきのうえ,1,cool
新夕張,しんゆうばり,1,cool
沼ノ沢,ぬまのさわ,1,unknown
南清水沢,みなみしみずさわ,1,unknown
清水沢,しみずさわ,1,unknown
鹿ノ谷,しかのたに,1,unknown
夕張,ゆうばり,1,unknown
占冠,しむかっぷ,1,eco
トマム,とまむ,1,eco
勇払,ゆうふつ,1,eco
浜厚真,はまあつま,1,eco
浜田浦,はまたうら,1,eco
鵡川,むかわ,1,eco
汐見,しおみ,1,eco
富川,とみかわ,1,eco
日高門別,ひだかもんべつ,1,eco
豊郷(北海道),とよさと,1,eco
清畠,きよはた,1,eco
厚賀,あつが,1,eco
大狩部,おおかりべ,1,eco
節婦,せっぷ,1,eco
新冠,にいかっぷ,1,eco
静内,しずない,1,eco
東静内,ひがししずない,1,cool
春立,はるたち,1,cool
日高東別,ひだかとうべつ,1,cool
日高三石,ひだかみついし,1,cool
蓬栄,ほうえい,1,cool
本桐,ほんきり,1,cool
荻伏,おぎふし,1,cool
絵笛,えふえ,1,heat
浦河,うらかわ,1,heat
東町,ひがしちょう,1,heat
日高幌別,ひだかほろべつ,1,heat
鵜苫,うとま,1,heat
西様似,にしさまに,1,heat
様似,さまに,1,heat
八軒,はちけん,1,cool
新川(北海道),しんかわ,1,cool
新琴似,しんことに,1,cool
太平,たいへい,1,cool
百合が原,ゆりがはら,1,cool
篠路,しのろ,1,cool
拓北,たくほく,1,eco
あいの里教育大,あいのさときょういくだい,1,eco
あいの里公園,あいのさとこうえん,1,eco
石狩太美,いしかりふとみ,1,eco
石狩当別,いしかりとうべつ,1,eco
北海道医療大学,ほっかいどういりょうだいがく,1,eco
石狩金沢,いしかりかなざわ,1,eco
本中小屋,もとなかごや,1,heat
中小屋,なかごや,1,heat
月ヶ岡,つきがおか,1,heat
知来乙,ちらいおつ,1,heat
石狩月形,いしかりつきがた,1,heat
豊ヶ岡,とよがおか,1,heat
札比内,さっぴない,1,heat
晩生内,おそきない,1,heat
札的,さってき,1,heat
浦臼,うらうす,1,heat
鶴沼,つるぬま,1,heat
於札内,おさつない,1,heat
南下徳富,みなみしもとっぷ,1,heat
下徳富,しもとっぷ,1,heat
新十津川,しんとつかわ,1,heat
北一已,きたいちやん,1,heat
秩父別,ちっぷべつ,1,heat
北秩父別,きたちっぷべつ,1,heat
石狩沼田,いしかりぬまた,1,heat
真布,まっぷ,1,heat
恵比島,えびしま,1,heat
峠下,とうげした,1,heat
幌糠,ほろぬか,1,cool
藤山,ふじやま,1,cool
大和田(北海道),おおわだ,1,cool
留萌,るもい,1,cool
神楽岡,かぐらおか,1,heat
緑が丘(北海道),みどりがおか,1,heat
西御料,にしごりょう,1,heat
西瑞穂,にしみずほ,1,heat
西神楽,にしかぐら,1,heat
西聖和,にしせいわ,1,heat
千代ヶ岡,ちよがおか,1,heat
北美瑛,きたびえい,1,heat
美瑛,びえい,1,heat
美馬牛,びばうし,1,eco
上富良野,かみふらの,1,eco
西中,にしなか,1,eco
ラベンダー畑,らべんだーばたけ,1,eco
中富良野,なかふらの,1,cool
鹿討,しかうち,1,cool
学田,がくでん,1,cool
旭川四条,あさひかわよじょう,1,heat
新旭川,しんあさひかわ,1,heat
永山,ながやま,1,heat
北永山,きたながやま,1,heat
南比布,みなみぴっぷ,1,heat
比布,ぴっぷ,1,heat
北比布,きたぴっぷ,1,heat
蘭留,らんる,1,heat
塩狩,しおかり,1,heat
和寒,わっさむ,1,heat
東六線,ひがしろくせん,1,heat
剣淵,けんぶち,1,heat
北剣淵,きたけんぶち,1,cool
士別,しべつ,1,cool
下士別,しもしべつ,1,cool
多寄,たよろ,1,cool
瑞穂,みずほ,1,cool
風連,ふうれん,1,cool
東風連,ひがしふうれん,1,cool
名寄,なよろ,1,cool
日進(北海道),にっしん,1,cool
北星,ほくせい,1,cool
智恵文,ちえぶん,1,cool
智北,ちほく,1,cool
南美深,みなみびふか,1,cool
美深,びふか,1,cool
初野,はつの,1,cool
紋穂内,もんぽない,1,cool
恩根内,おんねない,1,cool
豊清水,とよしみず,1,cool
天塩川温泉,てしおがわおんせん,1,cool
咲来,さっくる,1,cool
音威子府,おといねっぷ,1,cool
筬島,おさしま,1,cool
佐久,さく,1,cool
天塩中川,てしおなかがわ,1,cool
歌内,うたない,1,cool
問寒別,といかんべつ,1,cool
糠南,ぬかなん,1,cool
雄信内,おのっぷない,1,cool
安牛,やすうし,1,cool
南幌延,みなみほろのべ,1,eco
上幌延,かみほろのべ,1,eco
幌延,ほろのべ,1,eco
下沼,しもぬま,1,eco
豊富,とよとみ,1,eco
徳満,とくみつ,1,eco
兜沼,かぶとぬま,1,eco
勇知,ゆうち,1,eco
抜海,ばっかい,1,eco
南稚内,みなみわっかない,1,eco
稚内,わっかない,1,eco
南永山,みなみながやま,1,heat
東旭川,ひがしあさひかわ,1,heat
北日ノ出,きたひので,1,heat
桜岡,さくらおか,1,heat
当麻,とうま,1,heat
将軍山,しょうぐんざん,1,eco
伊香牛,いかうし,1,eco
愛別,あいべつ,1,eco
中愛別,なかあいべつ,1,eco
愛山,あいざん,1,eco
安足間,あんたろま,1,eco
東雲(北海道),とううん,1,eco
上川,かみかわ,1,eco
白滝,しらたき,1,eco
丸瀬布,まるせっぷ,1,cool
瀬戸瀬,せとせ,1,cool
遠軽,えんがる,1,cool
安国,やすくに,1,cool
生野(北海道),いくの,1,cool
生田原,いくたはら,1,cool
西留辺蘂,にしるべしべ,1,cool
留辺蘂,るべしべ,1,cool
相内,あいのない,1,cool
東相内,ひがしあいのない,1,cool
西北見,にしきたみ,1,cool
北見,きたみ,1,cool
柏陽,はくよう,1,cool
愛し野,いとしの,1,cool
端野,たんの,1,cool
緋牛内,ひうしない,1,cool
美幌,びほろ,1,cool
西女満別,にしめまんべつ,1,cool
女満別,めまんべつ,1,cool
呼人,よびと,1,cool
網走,あばしり,1,cool
桂台,かつらだい,1,heat
鱒浦,ますうら,1,heat
藻琴,もこと,1,heat
北浜(北海道),きたはま,1,heat
原生花園,げんせいかえん,1,heat
浜小清水,はまこしみず,1,cool
止別,やむべつ,1,cool
知床斜里,しれとこしゃり,1,cool
中斜里,なかしゃり,1,cool
南斜里,みなみしゃり,1,cool
清里町,きよさとちょう,1,cool
札弦,さっつる,1,cool
緑,みどり,1,eco
川湯温泉,かわゆおんせん,1,eco
美留和,びるわ,1,eco
摩周,ましゅう,1,eco
南弟子屈,みなみてしかが,1,eco
磯分内,いそぶんない,1,eco
標茶,しべちゃ,1,eco
茅沼,かやぬま,1,eco
塘路,とうろ,1,eco
細岡,ほそおか,1,eco
釧路湿原,くしろしつげん,1,eco
遠矢,とおや,1,eco
中小国,なかおぐに,2,cool
津軽二股,つがるふたまた,2,eco
木古内,きこない,1,eco
宮の沢,みやのさわ,1,cool
発寒南,はっさむみなみ,1,cool
琴似(札幌市交通局),ことに,1,cool
二十四軒,にじゅうよんけん,1,cool
西２８丁目,にしにじゅうはっちょうめ,1,cool
円山公園,まるやまこうえん,1,cool
西１８丁目,にしじゅうはっちょうめ,1,cool
西１１丁目,にしじゅういっちょうめ,1,cool
中央区役所前,ちゅうおうくやくしょまえ,1,cool
大通,おおどおり,1,cool
バスセンター前,ばすせんたーまえ,1,cool
菊水,きくすい,1,cool
東札幌,ひがしさっぽろ,1,cool
白石(札幌市交通局),しろいし,1,cool
南郷７丁目,なんごうななちょうめ,1,cool
南郷１３丁目,なんごうじゅうさんちょうめ,1,cool
南郷１８丁目,なんごうじゅうはっちょうめ,1,cool
大谷地,おおやち,1,cool
ひばりが丘,ひばりがおか,1,cool
麻生,あさぶ,1,cool
北３４条,きたさんじゅうよじょう,1,eco
北２４条,きたにじゅうよじょう,1,eco
北１８条,きたじゅうはちじょう,1,eco
北１２条,きたじゅうにじょう,1,eco
すすきの,すすきの,1,eco
中島公園,なかじまこうえん,1,eco
幌平橋,ほろひらばし,1,eco
中の島,なかのしま,1,eco
平岸(札幌市交通局),ひらぎし,1,eco
南平岸,みなみひらぎし,1,eco
澄川,すみかわ,1,eco
自衛隊前,じえいたいまえ,1,eco
真駒内,まこまない,1,eco
栄町(北海道),さかえまち,1,eco
新道東,しんどうひがし,1,eco
元町(北海道),もとまち,1,heat
環状通東,かんじょうどおりひがし,1,heat
東区役所前,ひがしくやくしょまえ,1,heat
北１３条東,きたじゅうさんじょうひがし,1,heat
豊水すすきの,ほうすいすすきの,1,heat
学園前(北海道),がくえんまえ,1,heat
豊平公園,とよひらこうえん,1,heat
美園,みその,1,heat
月寒中央,つきさむちゅうおう,1,heat
福住,ふくずみ,1,heat
西４丁目,にしよんちょうめ,1,cool
西８丁目,にしはっちょうめ,1,cool
西１５丁目,にしじゅうごちょうめ,1,cool
西線６条,にしせんろくじょう,1,cool
西線９条旭山公園通,にしせんくじょうあさひやまこうえんどおり,1,cool
西線１１条,にしせんじゅういちじょう,1,cool
西線１４条,にしせんじゅうよじょう,1,cool
西線１６条,にしせんじゅうろくじょう,1,cool
ロープウェイ入口,ろーぷうぇいいりぐち,1,cool
電車事業所前,でんしゃじぎょうしょまえ,1,cool
中央図書館前,ちゅうおうとしょかんまえ,1,cool
石山通,いしやまどおり,1,cool
東屯田通,ひがしとんでんどおり,1,heat
幌南小学校前,こうなんしょうがっこうまえ,1,heat
山鼻１９条,やまはなじゅうくじょう,1,heat
静修学園前,せいしゅうがくえんまえ,1,heat
行啓通,ぎょうけいどおり,1,heat
中島公園通,なかじまこうえんどおり,1,heat
山鼻９条,やまはなくじょう,1,eco
東本願寺前,ひがしほんがんじまえ,1,eco
資生館小学校前,しせいかんしょうがっこうまえ,1,eco
狸小路,たぬきこうじ,1,eco
湯の川,ゆのかわ,1,cool
湯の川温泉,ゆのかわおんせん,1,cool
函館アリーナ前,はこだてありーなまえ,1,cool
駒場車庫前,こまばしゃこまえ,1,cool
競馬場前(北海道),けいばじょうまえ,1,cool
深堀町,ふかぼりちょう,1,cool
柏木町,かしわぎちょう,1,cool
杉並町,すぎなみちょう,1,cool
五稜郭公園前,ごりょうかくこうえん,1,cool
中央病院前,ちゅうおうびょういんまえ,1,cool
千代台,ちよがだい,1,cool
堀川町,ほりかわちょう,1,cool
昭和橋,しょうわばし,1,cool
千歳町(北海道),ちとせちょう,1,heat
新川町(北海道),しんかわちょう,1,heat
松風町,まつかぜちょう,1,heat
市役所前(北海道),しやくしょまえ,1,heat
魚市場通,うおいちばどおり,1,eco
十字街,じゅうじがい,1,eco
宝来町,ほうらいちょう,1,eco
青柳町,あおやぎちょう,1,eco
谷地頭,やちがしら,1,eco
末広町(北海道),すえひろちょう,1,heat
大町(北海道),おおまち,1,heat
函館どつく前,はこだてどっくまえ,1,heat
札苅,さつかり,1,eco
泉沢,いずみさわ,1,eco
釜谷,かまや,1,eco
渡島当別,おしまとうべつ,1,eco
茂辺地,もへじ,1,eco
上磯,かみいそ,1,eco
清川口,きよかわぐち,1,eco
久根別,くねべつ,1,eco
東久根別,ひがしくねべつ,1,eco
七重浜,ななえはま,1,eco
新庄,しんじょう,6,eco
泉田,いずみた,6,eco
羽前豊里,うぜんとよさと,6,eco
真室川,まむろがわ,6,heat
釜淵,かまぶち,6,heat
大滝,おおたき,6,cool
及位,のぞき,6,cool
院内,いんない,5,heat
横堀,よこぼり,5,heat
三関,みつせき,5,heat
上湯沢,かみゆざわ,5,heat
湯沢,ゆざわ,5,heat
下湯沢,しもゆざわ,5,heat
十文字,じゅうもんじ,5,heat
醍醐(秋田),だいご,5,heat
柳田(秋田),やなぎた,5,heat
横手,よこて,5,heat
後三年,ごさんねん,5,heat
飯詰,いいづめ,5,heat
大曲(秋田),おおまがり,5,heat
神宮寺,じんぐうじ,5,heat
刈和野,かりわの,5,heat
峰吉川,みねよしかわ,5,heat
羽後境,うごさかい,5,heat
大張野,おおばりの,5,heat
和田,わだ,5,heat
四ツ小屋,よつごや,5,heat
秋田,あきた,5,heat
土崎,つちざき,5,heat
上飯島,かみいいじま,5,eco
追分(秋田),おいわけ,5,cool
大久保(秋田),おおくぼ,5,eco
羽後飯塚,うごいいづか,5,eco
井川さくら,いかわさくら,5,eco
八郎潟,はちろうがた,5,eco
鯉川,こいかわ,5,eco
鹿渡,かど,5,eco
森岳,もりたけ,5,eco
北金岡,きたかなおか,5,eco
東能代,ひがしのしろ,5,heat
鶴形,つるがた,5,cool
富根,とみね,5,cool
二ツ井,ふたつい,5,cool
前山,まえやま,5,cool
鷹ノ巣(鷹巣),たかのす,5,cool
糠沢,ぬかざわ,5,cool
早口,はやぐち,5,cool
下川沿,しもかわぞい,5,cool
大館,おおだて,5,cool
白沢(秋田),しらさわ,5,cool
陣場,じんば,5,cool
津軽湯の沢,つがるゆのさわ,2,heat
碇ヶ関,いかりがせき,2,heat
長峰,ながみね,2,heat
大鰐温泉,おおわにおんせん,2,heat
大鰐,おおわに,2,heat
石川(JR),いしかわ,2,heat
弘前,ひろさき,2,eco
撫牛子,ないじょうし,2,heat
川部,かわべ,2,eco
北常盤,きたときわ,2,eco
浪岡,なみおか,2,eco
大釈迦,だいしゃか,2,eco
鶴ヶ坂,つるがさか,2,cool
津軽新城,つがるしんじょう,2,cool
新青森,しんあおもり,2,cool
青森,あおもり,2,cool
野辺地,のへじ,2,cool
北野辺地,きたのへじ,2,cool
有戸,ありと,2,cool
吹越,ふっこし,2,cool
陸奥横浜,むつよこはま,2,cool
有畑,ありはた,2,eco
近川,ちかがわ,2,eco
金谷沢,かなやさわ,2,eco
赤川,あかがわ,2,heat
下北,しもきた,2,heat
大湊,おおみなと,2,heat
能代,のしろ,5,heat
向能代,むかいのしろ,5,heat
北能代,きたのしろ,5,heat
鳥形,とりがた,5,heat
沢目,さわめ,5,heat
東八森,ひがしはちもり,5,cool
八森,はちもり,5,cool
滝ノ間,たきのま,5,cool
あきた白神,あきたしらかみ,5,eco
岩館,いわだて,5,eco
大間越,おおまごし,2,cool
白神岳登山口,しらかみだけとざんぐち,2,cool
松神,まつかみ,2,cool
十二湖,じゅうにこ,2,cool
陸奥岩崎,むついわさき,2,cool
陸奥沢辺,むつさわべ,2,cool
ウェスパ椿山,うぇすぱつばきやま,2,cool
艫作,へなし,2,cool
横磯,よこいそ,2,cool
深浦,ふかうら,2,cool
広戸,ひろと,2,cool
追良瀬,おいらせ,2,cool
驫木,とどろき,2,cool
風合瀬,かそせ,2,cool
大戸瀬,おおどせ,2,cool
千畳敷,せんじょうじき,2,cool
北金ヶ沢,きたかねがさわ,2,cool
陸奥柳田,むつやなぎた,2,heat
陸奥赤石,むつあかいし,2,heat
鰺ヶ沢,あじがさわ,2,heat
鳴沢,なるさわ,2,heat
越水,こしみず,2,heat
陸奥森田,むつもりた,2,heat
中田(青森),なかた,2,heat
木造,きづくり,2,eco
五所川原,ごしょがわら,2,eco
津軽五所川原,つがるごしょがわら,2,eco
陸奥鶴田,むつつるだ,2,eco
鶴泊,つるどまり,2,eco
板柳,いたやなぎ,2,eco
林崎,はやしざき,2,eco
藤崎(青森),ふじさき,2,eco
油川,あぶらかわ,2,cool
津軽宮田,つがるみやた,2,cool
奥内,おくない,2,cool
左堰,ひだりせき,2,cool
後潟,うしろがた,2,heat
中沢,なかさわ,2,heat
蓬田,よもぎた,2,heat
郷沢,ごうさわ,2,heat
瀬辺地,せへじ,2,heat
蟹田,かにた,2,eco
大平,おおだい,2,eco
大川平,おおかわだい,2,eco
今別,いまべつ,2,eco
津軽浜名,つがるはまな,2,eco
三厩,みんまや,2,eco
八戸,はちのへ,2,eco
長苗代,ながなわしろ,2,eco
本八戸,ほんはちのへ,2,eco
小中野,こなかの,2,eco
陸奥湊,むつみなと,2,eco
白銀,しろがね,2,eco
鮫,さめ,2,heat
陸奥白浜,むつしらはま,2,heat
種差海岸,たねさしかいがん,2,heat
大久喜,おおくき,2,cool
金浜,かねはま,2,cool
大蛇,おおじゃ,2,cool
階上,はしかみ,2,cool
角の浜,かどのはま,3,cool
平内,ひらない,3,cool
種市,たねいち,3,cool
玉川(岩手),たまがわ,3,cool
宿戸,しゅくのへ,3,cool
陸中八木,りくちゅうやぎ,3,cool
有家,うげ,3,eco
陸中中野,りくちゅうなかの,3,eco
侍浜,さむらいはま,3,eco
陸中夏井,りくちゅうなつい,3,heat
久慈,くじ,3,heat
十川(青森),とがわ,2,eco
五農校前,ごのうこうまえ,2,cool
津軽飯詰,つがるいいづめ,2,cool
毘沙門,びしゃもん,2,cool
嘉瀬,かせ,2,cool
金木,かなぎ,2,cool
芦野公園,あしのこうえん,2,cool
川倉,かわくら,2,cool
大沢内,おおざわない,2,heat
深郷田,ふこうだ,2,heat
津軽中里,つがるなかさと,2,heat
弘前東高前,ひろさきひがしこうまえ,2,eco
運動公園前(青森),うんどうこうえんまえ,2,eco
新里(青森),にさと,2,eco
館田,たちた,2,eco
平賀,ひらか,2,eco
柏農高校前,はくのうこうこうまえ,2,eco
津軽尾上,つがるおのえ,2,heat
尾上高校前,おのえこうこうまえ,2,heat
田んぼアート,たんぼあーと,2,heat
田舎館,いなかだて,2,cool
境松,さかいまつ,2,cool
黒石(青森),くろいし,2,cool
宿川原,しゅくがわら,2,heat
鯖石,さばいし,2,heat
石川プール前,いしかわぷーるまえ,2,heat
石川(弘南鉄道),いしかわ,2,heat
義塾高校前,ぎじゅくこうこうまえ,2,heat
津軽大沢,つがるおおさわ,2,heat
松木平,まつきたい,2,cool
小栗山,こぐりやま,2,cool
千年,ちとせ,2,cool
聖愛中高前,せいあいちゅうこうまえ,2,cool
弘前学院大前,ひろさきがくいんだいまえ,2,eco
弘高下,ひろこうした,2,eco
中央弘前,ちゅうおうひろさき,2,eco
盛岡,もりおか,3,heat
青山(岩手),あおやま,3,eco
厨川,くりやがわ,3,eco
巣子,すご,3,eco
滝沢,たきざわ,3,eco
渋民,しぶたみ,3,heat
好摩,こうま,3,heat
岩手川口,いわてかわぐち,3,heat
いわて沼宮内,いわてぬまくない,3,heat
御堂,みどう,3,heat
奥中山高原,おくなかやまこうげん,3,heat
小繋,こつなぎ,3,heat
小鳥谷,こずや,3,heat
一戸,いちのへ,3,cool
二戸,にのへ,3,cool
斗米,とまい,3,cool
金田一温泉,きんたいちおんせん,3,cool
目時,めとき,2,heat
三戸,さんのへ,2,heat
諏訪ノ平,すわのたいら,2,heat
剣吉,けんよし,2,heat
苫米地,とまべち,2,heat
北高岩,きたたかいわ,2,heat
陸奥市川,むついちかわ,2,eco
下田,しもだ,2,eco
向山,むかいやま,2,eco
三沢(青森),みさわ,2,eco
小川原,こがわら,2,heat
上北町,かみきたちょう,2,heat
乙供,おっとも,2,heat
千曳,ちびき,2,eco
狩場沢,かりばさわ,2,cool
清水川,しみずがわ,2,cool
小湊,こみなと,2,cool
西平内,にしひらない,2,cool
浅虫温泉,あさむしおんせん,2,cool
野内,のない,2,cool
矢田前,やだまえ,2,cool
小柳(青森),こやなぎ,2,cool
東青森,ひがしあおもり,2,cool
筒井(青森),つつい,2,cool
一ノ関,いちのせき,3,cool
真滝,またき,3,cool
陸中門崎,りくちゅうかんざき,3,cool
岩ノ下,いわのした,3,cool
陸中松川,りくちゅうまつかわ,3,cool
猊鼻渓,げいびけい,3,cool
柴宿,しばじゅく,3,cool
摺沢,すりさわ,3,cool
千厩,せんまや,3,cool
小梨,こなし,3,cool
矢越,やごし,3,cool
折壁,おりかべ,3,cool
新月,にいつき,3,cool
気仙沼,けせんぬま,4,eco
鹿折唐桑,ししおりからくわ,4,eco
上鹿折,かみししおり,4,eco
陸前矢作,りくぜんやはぎ,3,cool
竹駒,たけこま,3,heat
陸前高田,りくぜんたかた,3,heat
脇ノ沢,わきのさわ,3,heat
小友,おとも,3,eco
細浦,ほそうら,3,eco
下船渡,しもふなと,3,eco
大船渡,おおふなと,3,eco
盛,さかり,3,eco
花巻,はなまき,3,cool
似内,にたない,3,cool
新花巻,しんはなまき,3,cool
小山田,おやまだ,3,cool
土沢,つちざわ,3,cool
晴山,はるやま,3,cool
岩根橋,いわねばし,3,cool
宮守,みやもり,3,cool
柏木平,かしわぎだいら,3,cool
鱒沢,ますざわ,3,cool
荒谷前,あらやまえ,3,cool
岩手二日町,いわてふつかまち,3,cool
綾織,あやおり,3,cool
遠野,とおの,3,heat
青笹,あおざさ,3,heat
岩手上郷,いわてかみごう,3,heat
平倉,ひらくら,3,heat
足ヶ瀬,あしがせ,3,heat
上有住,かみありす,3,heat
陸中大橋,りくちゅうおおはし,3,eco
洞泉,どうせん,3,eco
松倉,まつくら,3,eco
小佐野,こさの,3,eco
釜石,かまいし,3,eco
北上,きたかみ,3,eco
柳原(岩手),やなぎはら,3,heat
江釣子,えづりこ,3,heat
藤根,ふじね,3,heat
立川目,たてかわめ,3,heat
横川目,よこかわめ,3,eco
岩沢,いわさわ,3,eco
和賀仙人,わかせんにん,3,eco
ゆだ錦秋湖,ゆだきんしゅうこ,3,cool
ほっとゆだ,ほっとゆだ,3,cool
ゆだ高原,ゆだこうげん,3,cool
黒沢(JR),くろさわ,5,heat
